"","FamilyName","GivenName","HonorificPrefix","Age","PasClass_CrewDep","Ticket_Full_No","Fare__Old_Pounds","Fare__Old_Shillings","Fare__Old_Pennies","Fare_in_GBP","PortEmba","Job","Passenger_link","Pict_link","Pict_alt","Boat_Body","Passenger_status","FullName","Website_AgeNo"
"1","BECKER","Richard F.","Master","1","2nd Class Passenger","230136",39,NA,NA,39,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/richard-becker.html",NA,NA,"11","Survivor","BECKER, Master Richard F.
",1
"2","DEAN","Bertram Vere","Master","1","3rd Class Passenger","2315",20,11,NA,20.55,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/bertram-vere-dean.html",NA,NA,"10","Survivor","DEAN, Master Bertram Vere
",1
"3","GOODWIN","Sidney Leslie","Master","1","3rd Class Passenger","2144",46,18,NA,46.9,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/sidney-leslie-goodwin.html","https://www.encyclopedia-titanica.org/files/news/1452347358-1303745881.jpg","S. Goodwin","[4]","Survivor","GOODWIN, Master Sidney Leslie
",1
"4","JOHNSON","Eleanor Ileen","Miss","1","3rd Class Passenger","347742",11,2,NA,11.1,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/eleanor-ileen-johnson.html",NA,NA,"15","Survivor","JOHNSON, Miss Eleanor Ileen
",1
"5","KLASéN","Gertrud Emilia","Miss","1","3rd Class Passenger","350405",12,3,NA,12.15,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/gertrud-emilia-klasen.html",NA,NA,NA,"Survivor","KLASéN, Miss Gertrud Emilia
",1
"6","LAROCHE","Louise","Miss","1","2nd Class Passenger","2123",41,11,NA,41.55,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/louise-laroche.html",NA,NA,"14","Survivor","LAROCHE, Miss Louise
",1
"7","MALLET","André Clement","Master","1","2nd Class Passenger","2079",37,NA,NA,37,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/andre-clement-mallet.html","https://www.encyclopedia-titanica.org/images/mallet_andre.jpg","A. Mallet","10","Survivor","MALLET, Master André Clement
",1
"8","NAKID","Mariayam","Miss","1","3rd Class Passenger","2653",15,14,NA,15.7,"Cherbourg",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/maria-nakid.html",NA,NA,"C","Survivor","NAKID, Miss Mariayam
",1
"9","PANULA","Eino Viljam","Master","1","3rd Class Passenger","3101295",39,13,NA,39.65,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-victim/eino-viljam-panula.html",NA,NA,NA,"Survivor","PANULA, Master Eino Viljam
",1
"10","SANDSTRöM","Beatrice Irene","Miss","1","3rd Class Passenger","9549",16,14,NA,16.7,"Southampton",NA,"https://www.encyclopedia-titanica.org/titanic-survivor/beatrice-irene-sandstrom.html",NA,NA,"13","Survivor","SANDSTRöM, Miss Beatrice Irene
",1
